id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID
App Settings:Settings:SettingsMap:Push Notification:Desktop notification,Desktop notification,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",static,string,,No,
App Settings:Settings:SettingsMap:Push Notification:New Comments on My Video,New Comments on My Video,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",static,string,,No,
App Settings:Settings:SettingsMap:Push Notification:New Fans,New Fans,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",static,string,,No,
App Settings:Settings:SettingsMap:Push Notification:New Likes on My Video,New Likes on My Video,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",static,string,,No,
Activity:Favorite Videos:FavoriteVideoList:Date,Date,"[""Activity"", ""Favorite Videos"", ""FavoriteVideoList"", ""Date""]","[""Activity"", ""Favorite Videos"", ""FavoriteVideoList""]","[""Date""]",list,string,,No,Activity:Favorite Videos:FavoriteVideoList:Date
Activity:Favorite Videos:FavoriteVideoList:Link,Link,"[""Activity"", ""Favorite Videos"", ""FavoriteVideoList"", ""Link""]","[""Activity"", ""Favorite Videos"", ""FavoriteVideoList""]","[""Link""]",list,string,,No,Activity:Favorite Videos:FavoriteVideoList:Link
Activity:Following List:Following:Date,Date,"[""Activity"", ""Following List"", ""Following"", ""Date""]","[""Activity"", ""Following List"", ""Following""]","[""Date""]",list,string,,No,Activity:Following List:Following:Date
Activity:Following List:Following:UserName,UserName,"[""Activity"", ""Following List"", ""Following"", ""UserName""]","[""Activity"", ""Following List"", ""Following""]","[""UserName""]",list,string,,No,Activity:Following List:Following:UserName
Activity:Hashtag:HashtagList:HashtagName,HashtagName,"[""Activity"", ""Hashtag"", ""HashtagList"", ""HashtagName""]","[""Activity"", ""Hashtag"", ""HashtagList""]","[""HashtagName""]",list,string,,No,Activity:Hashtag:HashtagList:HashtagName
Activity:Hashtag:HashtagList:HashtagLink,HashtagLink,"[""Activity"", ""Hashtag"", ""HashtagList"", ""HashtagLink""]","[""Activity"", ""Hashtag"", ""HashtagList""]","[""HashtagLink""]",list,string,,No,Activity:Hashtag:HashtagList:HashtagLink
Activity:Like List:ItemFavoriteList:date,date,"[""Activity"", ""Like List"", ""ItemFavoriteList"", ""date""]","[""Activity"", ""Like List"", ""ItemFavoriteList""]","[""date""]",list,string,,No,Activity:Like List:ItemFavoriteList:date
Activity:Like List:ItemFavoriteList:link,link,"[""Activity"", ""Like List"", ""ItemFavoriteList"", ""link""]","[""Activity"", ""Like List"", ""ItemFavoriteList""]","[""link""]",list,string,,No,Activity:Like List:ItemFavoriteList:link
Activity:Login History:LoginHistoryList:Date,Date,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""Date""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""Date""]",list,string,,No,
Activity:Login History:LoginHistoryList:IP,IP,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""IP""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""IP""]",list,string,,No,
Activity:Login History:LoginHistoryList:DeviceModel,DeviceModel,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""DeviceModel""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""DeviceModel""]",list,string,,No,
Activity:Login History:LoginHistoryList:DeviceSystem,DeviceSystem,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""DeviceSystem""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""DeviceSystem""]",list,string,,No,
Activity:Login History:LoginHistoryList:NetworkType,NetworkType,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""NetworkType""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""NetworkType""]",list,string,,No,
