id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
istoricul-vizionărilor:products,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,istoricul-vizionărilor,No
istoricul-vizionărilor:activityControls,istoric/istoricul-vizionărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul-vizionărilor.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,istoricul-vizionărilor,No
paieškos istorija:header,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,paieškos istorija,No
paieškos istorija:title,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,paieškos istorija,No
paieškos istorija:titleUrl,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,paieškos istorija,No
paieškos istorija:time,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,paieškos istorija,No
paieškos istorija:products,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,paieškos istorija,No
paieškos istorija:activityControls,istorija/paieškos istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,paieškos istorija.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,paieškos istorija,No
žiūrėjimo istorija:header,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,žiūrėjimo istorija,No
žiūrėjimo istorija:title,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,žiūrėjimo istorija,No
