id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
logins_and_logouts:account_accesses_v2:site,personal_information/profile_information/security_and_login_information/logins_and_logouts.json,"{'account_accesses_v2': [{'action': 'string', 'timestamp': 'number', 'site': 'string', 'ip_address': 'string'}]}",personal_information,profile_information,security_and_login_information,,logins_and_logouts.json,account_accesses_v2,site,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_accesses_v2', 'site')",,"[""account_accesses_v2"", ""site""]",site,static,logins_and_logouts,Yes
logins_and_logouts:account_accesses_v2:ip_address,personal_information/profile_information/security_and_login_information/logins_and_logouts.json,"{'account_accesses_v2': [{'action': 'string', 'timestamp': 'number', 'site': 'string', 'ip_address': 'string'}]}",personal_information,profile_information,security_and_login_information,,logins_and_logouts.json,account_accesses_v2,ip_address,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('account_accesses_v2', 'ip_address')",,"[""account_accesses_v2"", ""ip_address""]",ip_address,static,logins_and_logouts,Yes
where_you're_logged_in:active_sessions_v2:created_timestamp,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,created_timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('active_sessions_v2', 'created_timestamp')",,"[""active_sessions_v2"", ""created_timestamp""]",created_timestamp,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:ip_address,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,ip_address,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'ip_address')",,"[""active_sessions_v2"", ""ip_address""]",ip_address,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:user_agent,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,user_agent,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'user_agent')",,"[""active_sessions_v2"", ""user_agent""]",user_agent,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:datr_cookie,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,datr_cookie,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'datr_cookie')",,"[""active_sessions_v2"", ""datr_cookie""]",datr_cookie,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:device,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,device,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'device')",,"[""active_sessions_v2"", ""device""]",device,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:location,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,location,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'location')",,"[""active_sessions_v2"", ""location""]",location,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:app,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,app,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'app')",,"[""active_sessions_v2"", ""app""]",app,static,where_you're_logged_in,Yes
where_you're_logged_in:active_sessions_v2:session_type,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,"{'active_sessions_v2': [{'created_timestamp': 'number', 'ip_address': 'string', 'user_agent': 'string', 'datr_cookie': 'string', 'device': 'string', 'location': 'string', 'app': 'string', 'session_type': 'string'}]}",personal_information,profile_information,security_and_login_information,,where_you're_logged_in.json,active_sessions_v2,session_type,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('active_sessions_v2', 'session_type')",,"[""active_sessions_v2"", ""session_type""]",session_type,static,where_you're_logged_in,Yes
