,carrier,,,,,,,,,,carrier,carrier,,
,phone_number,,,,,,,,,,phone_number,phone_number,,
,deviceVersion,,,,,,,,,,deviceVersion,deviceVersion,,
,createdDate,,,,,,,,,,createdDate,createdDate,,
,updatedDate,,,,,,,,,,updatedDate,updatedDate,,
,udid,,,,,,,,,,udid,udid,,
note-tweet,,,,,,,,,,,note-tweet,note-tweet,,
,noteTweetId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,lifecycle,,,,,,,,,,,,,
,updatedAt,,,,,,,,,,,,,
,core,,,,,,,,,,,,,
periscope-account-information,,,,,,,,,,,periscope-account-information,periscope-account-information,,
,id,,,,,,,,,,,,,
,displayName,,,,,,,,,,,,,
,username,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,isTwitterUser,,,,,,,,,,,,,
,twitterId,,,,,,,,,,,,,
,twitterScreenName,,,,,,,,,,,,,
periscope-ban-information,,,,,,,,,,,periscope-ban-information,periscope-ban-information,,
,periscopeBanActions,,,,,,,,,,,,,
,periscopeBanOverrideActions,,,,,,,,,,,,,
periscope-broadcast-metadata,,,,,,,,,,,periscope-broadcast-metadata,periscope-broadcast-metadata,,
,id,,,,,,,,,,,,,
,hasLocation,,,,,,,,,,,,,
,latitude,,,,,,,,,,,,,
,longitude,,,,,,,,,,,,,
,city,,,,,,,,,,,,,
,country,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,updatedAt,,,,,,,,,,,,,
periscope-comments-made-by-user,,,,,,,,,,,periscope-comments-made-by-user,periscope-comments-made-by-user,,
,broadcastId,,,,,,,,,,,,,
,byAccountId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,text,,,,,,,,,,,,,
periscope-expired-broadcasts,,,,,,,,,,,periscope-expired-broadcasts,periscope-expired-broadcasts,,
,broadcastIds,,,,,,,,,,,,,
,reason,,,,,,,,,,,,,
periscope-followers,,,,,,,,,,,periscope-followers,periscope-followers,,
periscope-profile-description,,,,,,,,,,,periscope-profile-description,periscope-profile-description,,
,description,,,,,,,,,,,,,
,profileImageUrls,,,,,,,,,,,,,
personalization,,,,,,,,,,,personalization,personalization,,
,demographics,,,,,,,,,,demographics,demographics,,
,,languages,,,,,,,,,languages,languages,,
,,genderInfo,,,,,,,,,genderInfo,genderInfo,,
,interests,,,,,,,,,,interests,interests,,
,partnerInterests,,,,,,,,,,partnerInterests,partnerInterests,,
,audienceAndAdvertisers,,,,,,,,,,audienceAndAdvertisers,audienceAndAdvertisers,,
,,lookalikeAdvertisers,,,,,,,,,lookalikeAdvertisers,lookalikeAdvertisers,,
,,advertisers,,,,,,,,,advertisers,advertisers,,
,,doNotReachAdvertisers,,,,,,,,,doNotReachAdvertisers,doNotReachAdvertisers,,
,,catalogAudienceAdvertisers,,,,,,,,,catalogAudienceAdvertisers,catalogAudienceAdvertisers,,
,,numAudiences,,,,,,,,,numAudiences,numAudiences,,
,inferredAgeInfo,,,,,,,,,,inferredAgeInfo,inferredAgeInfo,,
,locationHistory,,,,,,,,,,locationHistory,locationHistory,,
,shows,,,,,,,,,,shows,shows,,
phone-number,,,,,,,,,,,phone-number,phone-number,,
,phoneNumber,,,,,,,,,,,,,
product-drop,,,,,,,,,,,product-drop,product-drop,,
,id,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,productSetId,,,,,,,,,,,,,
,hashtag,,,,,,,,,,,,,
,dropTime,,,,,,,,,,,,,
product-set,,,,,,,,,,,product-set,product-set,,
,productSetId,,,,,,,,,,,,,
,catalogId,,,,,,,,,,,,,
,productSetType,,,,,,,,,,,,,
,name,,,,,,,,,,,,,
