column_name,path,list_path,subfield_path,var_type,data_type
Hide potential spam or offensive comments from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",skip,string
People you assigned to moderate your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",skip,array
Show your username and gift information in features with ranking lists,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",skip,string
app,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",skip,string
web,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",skip,string
Date,"['Video', 'Videos', 'VideoList', 'Date']",,"['Video', 'Videos', 'VideoList', 'Date']",static,string
Link,"['Video', 'Videos', 'VideoList', 'Link']",,"['Video', 'Videos', 'VideoList', 'Link']",static,string
Likes,"['Video', 'Videos', 'VideoList', 'Likes']",,"['Video', 'Videos', 'VideoList', 'Likes']",static,string
WhoCanView,"['Video', 'Videos', 'VideoList', 'WhoCanView']",,"['Video', 'Videos', 'VideoList', 'WhoCanView']",static,string
AllowComments,"['Video', 'Videos', 'VideoList', 'AllowComments']",,"['Video', 'Videos', 'VideoList', 'AllowComments']",static,string
AllowStitches,"['Video', 'Videos', 'VideoList', 'AllowStitches']",,"['Video', 'Videos', 'VideoList', 'AllowStitches']",static,string
AllowDuets,"['Video', 'Videos', 'VideoList', 'AllowDuets']",,"['Video', 'Videos', 'VideoList', 'AllowDuets']",static,string
AllowStickers,"['Video', 'Videos', 'VideoList', 'AllowStickers']",,"['Video', 'Videos', 'VideoList', 'AllowStickers']",static,string
AllowSharingToStory,"['Video', 'Videos', 'VideoList', 'AllowSharingToStory']",,"['Video', 'Videos', 'VideoList', 'AllowSharingToStory']",static,string
ContentDisclosure,"['Video', 'Videos', 'VideoList', 'ContentDisclosure']",,"['Video', 'Videos', 'VideoList', 'ContentDisclosure']",static,string
AIGeneratedContent,"['Video', 'Videos', 'VideoList', 'AIGeneratedContent']",,"['Video', 'Videos', 'VideoList', 'AIGeneratedContent']",static,string
Sound,"['Video', 'Videos', 'VideoList', 'Sound']",,"['Video', 'Videos', 'VideoList', 'Sound']",static,string
Location,"['Video', 'Videos', 'VideoList', 'Location']",,"['Video', 'Videos', 'VideoList', 'Location']",static,string
Title,"['Video', 'Videos', 'VideoList', 'Title']",,"['Video', 'Videos', 'VideoList', 'Title']",static,string
AddYoursText,"['Video', 'Videos', 'VideoList', 'AddYoursText']",,"['Video', 'Videos', 'VideoList', 'AddYoursText']",static,string
Desktop notification,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",skip,string
New Comments on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",skip,string
New Fans,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",skip,string
New Likes on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",skip,string
Description,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']",,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']",static,string
Name,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Name']",,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Name']",static,string
Platform,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Platform']",,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Platform']",static,string
Profile Photo,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Profile Photo']",,"['Profile', 'Profile Information', 'ProfileMap', 'PlatformInfo', 'Profile Photo']",static,string
Date,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Date']","['Activity', 'Favorite Videos']","['FavoriteVideoList', 'Date']",list,string
Link,"['Activity', 'Favorite Videos', 'FavoriteVideoList', 'Link']","['Activity', 'Favorite Videos']","['FavoriteVideoList', 'Link']",list,string
Date,"['Activity', 'Follower List', 'FansList', 'Date']","['Activity', 'Follower List']","['FansList', 'Date']",list,string
UserName,"['Activity', 'Follower List', 'FansList', 'UserName']","['Activity', 'Follower List']","['FansList', 'UserName']",list,string
Date,"['Activity', 'Following List', 'Following', 'Date']","['Activity', 'Following List']","['Following', 'Date']",list,string
UserName,"['Activity', 'Following List', 'Following', 'UserName']","['Activity', 'Following List']","['Following', 'UserName']",list,string
HashtagName,"['Activity', 'Hashtag', 'HashtagList', 'HashtagName']","['Activity', 'Hashtag']","['HashtagList', 'HashtagName']",list,string
HashtagLink,"['Activity', 'Hashtag', 'HashtagList', 'HashtagLink']","['Activity', 'Hashtag']","['HashtagList', 'HashtagLink']",list,string
date,"['Activity', 'Like List', 'ItemFavoriteList', 'date']","['Activity', 'Like List']","['ItemFavoriteList', 'date']",list,string
link,"['Activity', 'Like List', 'ItemFavoriteList', 'link']","['Activity', 'Like List']","['ItemFavoriteList', 'link']",list,string
Date,"['Activity', 'Login History', 'LoginHistoryList', 'Date']","['Activity', 'Login History']","['LoginHistoryList', 'Date']",list,string
IP,"['Activity', 'Login History', 'LoginHistoryList', 'IP']","['Activity', 'Login History']","['LoginHistoryList', 'IP']",list,string
DeviceModel,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceModel']","['Activity', 'Login History']","['LoginHistoryList', 'DeviceModel']",list,string
