column_name,path,list_path,subfield_path,var_type,data_type
Date,"['Activity', 'Share History', 'ShareHistoryList', 'Date']","['Activity', 'Share History', 'ShareHistoryList']",['Date'],list,string
SharedContent,"['Activity', 'Share History', 'ShareHistoryList', 'SharedContent']","['Activity', 'Share History', 'ShareHistoryList']",['SharedContent'],list,string
Link,"['Activity', 'Share History', 'ShareHistoryList', 'Link']","['Activity', 'Share History', 'ShareHistoryList']",['Link'],list,string
Method,"['Activity', 'Share History', 'ShareHistoryList', 'Method']","['Activity', 'Share History', 'ShareHistoryList']",['Method'],list,string
Resolution,"['Activity', 'Status', 'Status List', 'Resolution']","['Activity', 'Status', 'Status List']",['Resolution'],list,string
App Version,"['Activity', 'Status', 'Status List', 'App Version']","['Activity', 'Status', 'Status List']",['App Version'],list,string
IDFA,"['Activity', 'Status', 'Status List', 'IDFA']","['Activity', 'Status', 'Status List']",['IDFA'],list,string
GAID,"['Activity', 'Status', 'Status List', 'GAID']","['Activity', 'Status', 'Status List']",['GAID'],list,string
Android ID,"['Activity', 'Status', 'Status List', 'Android ID']","['Activity', 'Status', 'Status List']",['Android ID'],list,string
IDFV,"['Activity', 'Status', 'Status List', 'IDFV']","['Activity', 'Status', 'Status List']",['IDFV'],list,string
Web ID,"['Activity', 'Status', 'Status List', 'Web ID']","['Activity', 'Status', 'Status List']",['Web ID'],list,string
Date,"['Activity', 'Video Browsing History', 'VideoList', 'Date']","['Activity', 'Video Browsing History', 'VideoList']",['Date'],list,string
Link,"['Activity', 'Video Browsing History', 'VideoList', 'Link']","['Activity', 'Video Browsing History', 'VideoList']",['Link'],list,string
date,"['Comment', 'Comments', 'CommentsList', 'date']","['Comment', 'Comments', 'CommentsList']",['date'],list,string
comment,"['Comment', 'Comments', 'CommentsList', 'comment']","['Comment', 'Comments', 'CommentsList']",['comment'],list,string
photo,"['Comment', 'Comments', 'CommentsList', 'photo']","['Comment', 'Comments', 'CommentsList']",['photo'],list,string
url,"['Comment', 'Comments', 'CommentsList', 'url']","['Comment', 'Comments', 'CommentsList']",['url'],list,string
PlaceName,"['Poi Review', 'POI Review', 'ReviewsList', 'PlaceName']","['Poi Review', 'POI Review', 'ReviewsList']",['PlaceName'],list,string
Date,"['Poi Review', 'POI Review', 'ReviewsList', 'Date']","['Poi Review', 'POI Review', 'ReviewsList']",['Date'],list,string
Rating,"['Poi Review', 'POI Review', 'ReviewsList', 'Rating']","['Poi Review', 'POI Review', 'ReviewsList']",['Rating'],list,string
Status,"['Poi Review', 'POI Review', 'ReviewsList', 'Status']","['Poi Review', 'POI Review', 'ReviewsList']",['Status'],list,string
