json_name,column_name,path,list_path,subfield_path,var_type,data_type
personalization.js,gender,"['p13nData', 'demographics', 'genderInfo', 'gender']",nan,"[""p13nData"", ""demographics"", ""genderInfo"", ""gender""]",static,string
personalization.js,name,"['p13nData', 'interests', 'interests', 'name']","[""p13nData"", ""interests"", ""interests""]","""name""",list,string
personalization.js,isDisabled,"['p13nData', 'interests', 'interests', 'isDisabled']","[""p13nData"", ""interests"", ""interests""]","""isDisabled""",list,boolean
personalization.js,lookalikeAdvertisers,"['p13nData', 'interests', 'audienceAndAdvertisers', 'lookalikeAdvertisers']",nan,"[""p13nData"", ""interests"", ""audienceAndAdvertisers"", ""lookalikeAdvertisers""]",static,array
personalization.js,advertisers,"['p13nData', 'interests', 'audienceAndAdvertisers', 'advertisers']",nan,"[""p13nData"", ""interests"", ""audienceAndAdvertisers"", ""advertisers""]",static,array
personalization.js,doNotReachAdvertisers,"['p13nData', 'interests', 'audienceAndAdvertisers', 'doNotReachAdvertisers']",nan,"[""p13nData"", ""interests"", ""audienceAndAdvertisers"", ""doNotReachAdvertisers""]",static,array
personalization.js,catalogAudienceAdvertisers,"['p13nData', 'interests', 'audienceAndAdvertisers', 'catalogAudienceAdvertisers']",nan,"[""p13nData"", ""interests"", ""audienceAndAdvertisers"", ""catalogAudienceAdvertisers""]",static,array
personalization.js,numAudiences,"['p13nData', 'interests', 'audienceAndAdvertisers', 'numAudiences']",nan,"[""p13nData"", ""interests"", ""audienceAndAdvertisers"", ""numAudiences""]",static,string
tweets.js,editTweetIds,"['tweet', 'edit_info', 'initial', 'editTweetIds']",nan,"[""tweet"", ""edit_info"", ""initial"", ""editTweetIds""]",static,string
tweets.js,editableUntil,"['tweet', 'edit_info', 'initial', 'editableUntil']",nan,"[""tweet"", ""edit_info"", ""initial"", ""editableUntil""]",static,string
tweets.js,editsRemaining,"['tweet', 'edit_info', 'initial', 'editsRemaining']",nan,"[""tweet"", ""edit_info"", ""initial"", ""editsRemaining""]",static,string
tweets.js,isEditEligible,"['tweet', 'edit_info', 'initial', 'isEditEligible']",nan,"[""tweet"", ""edit_info"", ""initial"", ""isEditEligible""]",static,boolean
tweets.js,name,"['tweet', 'entities', 'user_mentions', 'name']","[""tweet"", ""entities"", ""user_mentions""]","""name""",list,string
tweets.js,screen_name,"['tweet', 'entities', 'user_mentions', 'screen_name']","[""tweet"", ""entities"", ""user_mentions""]","""screen_name""",list,string
tweets.js,indices,"['tweet', 'entities', 'user_mentions', 'indices']","[""tweet"", ""entities"", ""user_mentions""]","""indices""",list,string
tweets.js,id_str,"['tweet', 'entities', 'user_mentions', 'id_str']","[""tweet"", ""entities"", ""user_mentions""]","""id_str""",list,string
tweets.js,id,"['tweet', 'entities', 'user_mentions', 'id']","[""tweet"", ""entities"", ""user_mentions""]","""id""",list,string
manifest.js,fileName,"['dataTypes', 'account', 'files', 'fileName']","[""dataTypes"", ""account"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'account', 'files', 'globalName']","[""dataTypes"", ""account"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'account', 'files', 'count']","[""dataTypes"", ""account"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'accountCreationIp', 'files', 'fileName']","[""dataTypes"", ""accountCreationIp"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'accountCreationIp', 'files', 'globalName']","[""dataTypes"", ""accountCreationIp"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'accountCreationIp', 'files', 'count']","[""dataTypes"", ""accountCreationIp"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'accountLabel', 'files', 'fileName']","[""dataTypes"", ""accountLabel"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'accountLabel', 'files', 'globalName']","[""dataTypes"", ""accountLabel"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'accountLabel', 'files', 'count']","[""dataTypes"", ""accountLabel"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'accountSuspension', 'files', 'fileName']","[""dataTypes"", ""accountSuspension"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'accountSuspension', 'files', 'globalName']","[""dataTypes"", ""accountSuspension"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'accountSuspension', 'files', 'count']","[""dataTypes"", ""accountSuspension"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'accountTimezone', 'files', 'fileName']","[""dataTypes"", ""accountTimezone"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'accountTimezone', 'files', 'globalName']","[""dataTypes"", ""accountTimezone"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'accountTimezone', 'files', 'count']","[""dataTypes"", ""accountTimezone"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adEngagements', 'files', 'fileName']","[""dataTypes"", ""adEngagements"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adEngagements', 'files', 'globalName']","[""dataTypes"", ""adEngagements"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adEngagements', 'files', 'count']","[""dataTypes"", ""adEngagements"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adImpressions', 'files', 'fileName']","[""dataTypes"", ""adImpressions"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adImpressions', 'files', 'globalName']","[""dataTypes"", ""adImpressions"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adImpressions', 'files', 'count']","[""dataTypes"", ""adImpressions"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adMobileConversionsAttributed', 'files', 'fileName']","[""dataTypes"", ""adMobileConversionsAttributed"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adMobileConversionsAttributed', 'files', 'globalName']","[""dataTypes"", ""adMobileConversionsAttributed"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adMobileConversionsAttributed', 'files', 'count']","[""dataTypes"", ""adMobileConversionsAttributed"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adMobileConversionsUnattributed', 'files', 'fileName']","[""dataTypes"", ""adMobileConversionsUnattributed"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adMobileConversionsUnattributed', 'files', 'globalName']","[""dataTypes"", ""adMobileConversionsUnattributed"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adMobileConversionsUnattributed', 'files', 'count']","[""dataTypes"", ""adMobileConversionsUnattributed"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adOnlineConversionsAttributed', 'files', 'fileName']","[""dataTypes"", ""adOnlineConversionsAttributed"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adOnlineConversionsAttributed', 'files', 'globalName']","[""dataTypes"", ""adOnlineConversionsAttributed"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adOnlineConversionsAttributed', 'files', 'count']","[""dataTypes"", ""adOnlineConversionsAttributed"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adOnlineConversionsUnattributed', 'files', 'fileName']","[""dataTypes"", ""adOnlineConversionsUnattributed"", ""files""]","""fileName""",list,string
