id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID,date_added,file_path
Tiktok Live:Watch Live History:WatchLiveMap:7559924220057914134:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559924220057914134"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559924220057914134"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7559924220057914134:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7559924220057914134:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559924220057914134"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7559924220057914134"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7559924220057914134:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7560382256549989142:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7560382256549989142"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7560382256549989142"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7560382256549989142:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7560382256549989142:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7560382256549989142"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7560382256549989142"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7560382256549989142:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7561336103224085270:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561336103224085270"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561336103224085270"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7561336103224085270:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7561336103224085270:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561336103224085270"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561336103224085270"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7561336103224085270:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7561815283478104854:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561815283478104854"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561815283478104854"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7561815283478104854:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7561815283478104854:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561815283478104854"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7561815283478104854"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7561815283478104854:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7562112741633428226:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7562112741633428226"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7562112741633428226"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7562112741633428226:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7562112741633428226:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7562112741633428226"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7562112741633428226"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7562112741633428226:Link,,
