json_name,id,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,keepID
your_fundraiser_donations_information.json,profile_information:your_facebook_activity:fundraisers:your_fundraiser_donations_information:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/fundraisers/your_fundraiser_donations_information.json,No,pre-trial,
your_fundraiser_donations_information.json,profile_information:your_facebook_activity:fundraisers:your_fundraiser_donations_information:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/fundraisers/your_fundraiser_donations_information.json,No,pre-trial,
fundraiser_posts_you_likely_viewed.json,profile_information:your_facebook_activity:fundraisers:fundraiser_posts_you_likely_viewed:media,media,"[""media""]",,"[""media""]",static,array,personal_information/profile_information/your_facebook_activity/fundraisers/fundraiser_posts_you_likely_viewed.json,No,pre-trial,
fundraiser_posts_you_likely_viewed.json,profile_information:your_facebook_activity:fundraisers:fundraiser_posts_you_likely_viewed:fbid,fbid,"[""fbid""]",,"[""fbid""]",static,string,personal_information/profile_information/your_facebook_activity/fundraisers/fundraiser_posts_you_likely_viewed.json,No,pre-trial,
0.json,profile_information:your_facebook_activity:posts:album:0:name,name,"[""name""]",,"[""name""]",static,string,personal_information/profile_information/your_facebook_activity/posts/album/0.json,No,pre-trial,
0.json,profile_information:your_facebook_activity:posts:album:0:last_modified_timestamp,last_modified_timestamp,"[""last_modified_timestamp""]",,"[""last_modified_timestamp""]",static,number,personal_information/profile_information/your_facebook_activity/posts/album/0.json,No,pre-trial,
0.json,profile_information:your_facebook_activity:posts:album:0:description,description,"[""description""]",,"[""description""]",static,string,personal_information/profile_information/your_facebook_activity/posts/album/0.json,No,pre-trial,
message_1.json,personal_information:$USERNAME:message_1:title,title,"[""title""]",,"[""title""]",static,string,personal_information/$USERNAME/message_1.json,No,pre-trial,
message_1.json,personal_information:$USERNAME:message_1:is_still_participant,is_still_participant,"[""is_still_participant""]",,"[""is_still_participant""]",static,boolean,personal_information/$USERNAME/message_1.json,No,pre-trial,
message_1.json,personal_information:$USERNAME:message_1:thread_path,thread_path,"[""thread_path""]",,"[""thread_path""]",static,string,personal_information/$USERNAME/message_1.json,No,pre-trial,
