id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag
Go Live Settings:Allow people to send and receive comments during your LIVE,Allow people to send and receive comments during your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",static,string,,No
Go Live Settings:Allow suggested LIVE hosts to invite you to co-host in LIVE,Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",static,string,,No
Go Live Settings:Allow viewers to request to go LIVE with you,Allow viewers to request to go LIVE with you,"['Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",static,string,,No
Go Live Settings:Allow viewers to see and send questions and answers in your LIVE,Allow viewers to see and send questions and answers in your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",static,string,,No
Go Live Settings:Allow viewers to send you gifts during your LIVE,Allow viewers to send you gifts during your LIVE,"['Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",static,string,,No
Go Live Settings:Hide comments that contain the following keywords from your LIVE,Hide comments that contain the following keywords from your LIVE,"['Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Hide comments that contain the following keywords from your LIVE""]",static,array,,No
Go Live Settings:Hide potential spam or offensive comments from your LIVE,Hide potential spam or offensive comments from your LIVE,"['Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",static,string,,No
Go Live Settings:People you assigned to moderate your LIVE,People you assigned to moderate your LIVE,"['Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",,"[""Go Live Settings"", ""SettingsMap"", ""People you assigned to moderate your LIVE""]",static,array,,No
Go Live Settings:Show your username and gift information in features with ranking lists,Show your username and gift information in features with ranking lists,"['Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",,"[""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",static,string,,No
Watch Live Settings:app,app,"['Watch Live Settings', 'WatchLiveSettingsMap', 'app']",,"[""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",static,string,,No
Watch Live Settings:web,web,"['Watch Live Settings', 'WatchLiveSettingsMap', 'web']",,"[""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",static,string,,No
Videos:Date,Date,"['Videos', 'VideoList', 'Date']","[""Videos"", ""VideoList""]","""Date""",list,string,,No
Videos:Link,Link,"['Videos', 'VideoList', 'Link']","[""Videos"", ""VideoList""]","""Link""",list,string,,No
Videos:Likes,Likes,"['Videos', 'VideoList', 'Likes']","[""Videos"", ""VideoList""]","""Likes""",list,string,,No
Videos:WhoCanView,WhoCanView,"['Videos', 'VideoList', 'WhoCanView']","[""Videos"", ""VideoList""]","""WhoCanView""",list,string,,No
Videos:AllowComments,AllowComments,"['Videos', 'VideoList', 'AllowComments']","[""Videos"", ""VideoList""]","""AllowComments""",list,string,,No
Videos:AllowStitches,AllowStitches,"['Videos', 'VideoList', 'AllowStitches']","[""Videos"", ""VideoList""]","""AllowStitches""",list,string,,No
Videos:AllowDuets,AllowDuets,"['Videos', 'VideoList', 'AllowDuets']","[""Videos"", ""VideoList""]","""AllowDuets""",list,string,,No
Videos:AllowStickers,AllowStickers,"['Videos', 'VideoList', 'AllowStickers']","[""Videos"", ""VideoList""]","""AllowStickers""",list,string,,No
Videos:AllowSharingToStory,AllowSharingToStory,"['Videos', 'VideoList', 'AllowSharingToStory']","[""Videos"", ""VideoList""]","""AllowSharingToStory""",list,string,,No
Videos:ContentDisclosure,ContentDisclosure,"['Videos', 'VideoList', 'ContentDisclosure']","[""Videos"", ""VideoList""]","""ContentDisclosure""",list,string,,No
Videos:AIGeneratedContent,AIGeneratedContent,"['Videos', 'VideoList', 'AIGeneratedContent']","[""Videos"", ""VideoList""]","""AIGeneratedContent""",list,string,,No
Videos:Sound,Sound,"['Videos', 'VideoList', 'Sound']","[""Videos"", ""VideoList""]","""Sound""",list,string,,No
Videos:Location,Location,"['Videos', 'VideoList', 'Location']","[""Videos"", ""VideoList""]","""Location""",list,string,,No
Videos:Title,Title,"['Videos', 'VideoList', 'Title']","[""Videos"", ""VideoList""]","""Title""",list,string,,No
Videos:AddYoursText,AddYoursText,"['Videos', 'VideoList', 'AddYoursText']","[""Videos"", ""VideoList""]","""AddYoursText""",list,string,,No
Settings:Desktop notification,Desktop notification,"['Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",static,string,,No
Settings:New Comments on My Video,New Comments on My Video,"['Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",static,string,,No
Settings:New Fans,New Fans,"['Settings', 'SettingsMap', 'Push Notification', 'New Fans']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",static,string,,No
Settings:New Likes on My Video,New Likes on My Video,"['Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",,"[""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",static,string,,No
Profile Information:Description,Description,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Description']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Description""",list,string,,No
Profile Information:Name,Name,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Name']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Name""",list,string,,No
Profile Information:Platform,Platform,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Platform']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Platform""",list,string,,No
Profile Information:Profile Photo,Profile Photo,"['Profile Information', 'ProfileMap', 'PlatformInfo', 'Profile Photo']","[""Profile Information"", ""ProfileMap"", ""PlatformInfo""]","""Profile Photo""",list,string,,No
Follower List:Date,Date,"['Follower List', 'FansList', 'Date']","[""Follower List"", ""FansList""]","""Date""",list,string,,No
Follower List:UserName,UserName,"['Follower List', 'FansList', 'UserName']","[""Follower List"", ""FansList""]","""UserName""",list,string,,No
Ads and data:AdInterestCategories,AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",,"[""Ads and data"", ""Ad Interests"", ""AdInterestCategories""]",static,string,,No
Ads and data:ResponsesList,ResponsesList,"['Ads and data', 'Instant Form Ads Responses', 'ResponsesList']",,"[""Ads and data"", ""Instant Form Ads Responses"", ""ResponsesList""]",static,object,,No
Ads and data:OffTikTokActivityDataList,OffTikTokActivityDataList,"['Ads and data', 'Off TikTok Activity', 'OffTikTokActivityDataList']",,"[""Ads and data"", ""Off TikTok Activity"", ""OffTikTokActivityDataList""]",static,object,,No
App Settings:Block List:App,App,"['App Settings', 'Block List', 'App']",,"[""App Settings"", ""Block List"", ""App""]",static,number,,No
App Settings:BlockList,BlockList,"['App Settings', 'Block List', 'BlockList']",,"[""App Settings"", ""Block List"", ""BlockList""]",static,object,,No
App Settings:Settings:App,App,"['App Settings', 'Settings', 'App']",,"[""App Settings"", ""Settings"", ""App""]",static,number,,No
Comment:App,App,"['Comment', 'Comments', 'App']",,"[""Comment"", ""Comments"", ""App""]",static,number,,No
Comment:CommentsList,CommentsList,"['Comment', 'Comments', 'CommentsList']",,"[""Comment"", ""Comments"", ""CommentsList""]",static,object,,No
Income Plus Wallet Transactions:TransactionsList,TransactionsList,"['Income Plus Wallet Transactions', 'Transaction History', 'TransactionsList']",,"[""Income Plus Wallet Transactions"", ""Transaction History"", ""TransactionsList""]",static,object,,No
Location Review:ReviewsList,ReviewsList,"['Location Review', 'Location Reviews', 'ReviewsList']",,"[""Location Review"", ""Location Reviews"", ""ReviewsList""]",static,object,,No
Post:VideoList,VideoList,"['Post', 'Posts', 'VideoList']",,"[""Post"", ""Posts"", ""VideoList""]",static,object,,No
Post:PostList,PostList,"['Post', 'Recently Deleted Posts', 'PostList']",,"[""Post"", ""Recently Deleted Posts"", ""PostList""]",static,object,,Yes
Post:PostList,PostList,"['Post', 'Recently Deleted Posts', 'PostList']",,"[""Post"", ""Recently Deleted Posts"", ""PostList""]",static,object,,Yes
Profile:CreateDate,CreateDate,"['Profile', 'AI-Moji', 'CreateDate']",,"[""Profile"", ""AI-Moji"", ""CreateDate""]",static,string,,No
Profile:AIMojiList,AIMojiList,"['Profile', 'AI-Moji', 'AIMojiList']",,"[""Profile"", ""AI-Moji"", ""AIMojiList""]",static,object,,No
Profile:PhoneNumber,PhoneNumber,"['Profile', 'Autofill', 'PhoneNumber']",,"[""Profile"", ""Autofill"", ""PhoneNumber""]",static,string,,No
Profile:Email,Email,"['Profile', 'Autofill', 'Email']",,"[""Profile"", ""Autofill"", ""Email""]",static,string,,No
Profile:FirstName,FirstName,"['Profile', 'Autofill', 'FirstName']",,"[""Profile"", ""Autofill"", ""FirstName""]",static,string,,No
