id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
Profile:Profile Info:ProfileMap:telephoneNumber,telephoneNumber,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""telephoneNumber""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""telephoneNumber""]",static,string,,,No
Profile:Profile Info:ProfileMap:userName,userName,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""userName""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""userName""]",static,string,,,No
Profile:Profile Info:ProfileMap:youtubeLink,youtubeLink,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""youtubeLink""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""youtubeLink""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you,Allow agencies to find and invite you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE,Allow others to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow others to invite you to co-host in LIVE""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE,Allow people to send and receive comments during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow people to send and receive comments during your LIVE""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE,Allow suggested LIVE hosts to invite you to co-host in LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow suggested LIVE hosts to invite you to co-host in LIVE""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you,Allow viewers to request to go LIVE with you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to request to go LIVE with you""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE,Allow viewers to see and send questions and answers in your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to see and send questions and answers in your LIVE""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE,Allow viewers to send you gifts during your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow viewers to send you gifts during your LIVE""]",static,string,,,No
